COMPANY NAME,REPORTING YEAR,NITROGEN,SULPHUR,AIR CADMIUM,AIR MERCURY,ANNUAL REVENUE,HEADCOUNT,SCOPE 1 EMISSIONS TOTAL,SCOPE 2 EMISSION TOTAL,CONSUMPTION TOTAL ENERGY,COAL,DIESEL,MOTOR GASOLINE,NATURAL GAS,TOTAL WATER DISCHARGE OR WASTEWATER GENERATION,CHEMICAL OXYGEN DEMAND,TOTAL WASTE GENERATED,DISPOSED NON HAZARDOUS WASTE,FLY ASH,CONSTRUCTION DEBRIS,RECOVERED OR RECYCLED TOTAL WASTE,OVERBURDEN IN MINING,WASTE INCINERATED,WASTE TO LANDFILL,TOTAL HAZARDOUS WASTE GENERATED,TOTAL NON HAZARDOUS WASTE GENERATED,WASTE COMPOSTED,RECOVERED HAZARDOUS WASTE,RECOVERED NON HAZARDOUS WASTE,DISPOSED TOTAL WASTE,DISPOSED HAZARDOUS WASTE,WITHDRAWAL TOTAL WATER,RECYCLED WATER OR REUSE WATER OR TREATED WATER,CONSUMPTION TOTAL WATER,WITHDRAWAL TOTAL FRESHWATER
TENCENT,2018,,,,,47328.73845,54309,2590.31,712762,1106477.18,,181.92,780.24,12029.7,,,,,,,,,,,2.51,5917.28,,,,,,,5461,1907226.06,
TENCENT,2019,,,,,54637.10654,62885,4101.08,852686,1506253.9,,1244.49,805.77,18297.1,,,,,,,,,,,10.4,7038.38,,,,,,,4076,2750510.36,
TENCENT,2020,,,,,68577.70535,51350,4089.79,926675.8,1723567.94,,1295.86,534.45,18504.17,,,,,,,,,,,73.23,9077.63,,,,,,,10985,3509332.1,
TENCENT,2021,,,,,79681.55093,68226,19000,2349000,4375253,,32712.32344,311.1976,29042.33634,,,,,,,,,,,324,29850,,,,,,,,6201652,
CHEVRON CORP,2018,141000,40000,,,158902,48638,68000000,,275555577.6,,,,,,,,,,,,,,,400000,,,200000,,,300000,,,70000000,71000000
CHEVRON CORP,2019,130000,36000,,,139865,48155,63000000,,268611132.6,,,,,,,,,,,,,,,400000,,,200000,,,200000,,,69000000,70000000
CHEVRON CORP,2020,112000,41000,,,94471,47736,56000000,,249444464.4,,,,,,,,,,,,,,,200000,,,100000,,,100000,,,62000000,63000000
CHEVRON CORP,2021,113000,87000,,,155606,42595,57000000,,252500020.2,,,,,,,,,,,,,,,300000,,,100000,,,200000,,,66000000,67000000
China Construction Bank,2016,,,,,81359.59612,362482,4100.19,105820.03,,,1167.78626,,1033.8264,,,409.1,,,,,,,,,,,,,,,,,246859,
China Construction Bank,2017,,,,,85127.50313,352621,18576.91,258872.22,483337.67,4.65,10234.43,,39520.35,,,,,,,,,,,40.29,391.5,,,,,,,,2049524.54,
China Construction Bank,2018,,,,,94133.62687,345971,17518.07,244028.93,446323.04,4.65,11703.93,,37118.44,,,,,,,,,,,20.58,371.47,,,,,,,,2280545.68,
China Construction Bank,2019,,,,,95155.61946,347156,115242.34,1459672.38,2645169.57,2922.1786,33188.7336,,161911.1934,,,,,,,,,,,19.46,409.31,,,,,,,,23790030.7,
China Construction Bank,2020,,,,,98841.78032,349671,88906.1,1392317.22,2436176.42,576.1492,64119.187,,143052.2786,,,,,,,,,,,36.06,689.65,,,,,,,,23171202.67,
China Construction Bank,2021,,,,,113898.2154,351252,127378.31,1516076.17,2734978.95,199.837,24128.181,,155071.6398,,,,,,,,,,,37.46,272.17,,,,,,,,20600497.71,
CHINA MOBILE,2016,0,95.22,,,106678.9931,460647,350000,14030000,,37083.4,176000,1157330,97066.7,,,,,,,,,,,22742,,,22742,,,,,,41250000,
CHINA MOBILE,2017,0,23.59,,,109610.1418,464656,330000,15650000,,7416.67,194000,1108080,84266.7,,,,,,,,,,,35035,,,35035,,,,,,42240000,
CHINA MOBILE,2018,0,35.93,,,111523.4502,459152,310000,15860000,,14833.3,148000,1025090,119467,,,,,,,39759,,,,10165,29594,,,,,,,,35120000,
CHINA MOBILE,2019,,9.28,,,108019.9704,456239,280000,17040000,,3708.33,131000,923856,117333,,,,,,,,,,,18900,71400,,,67000,,15900,,,36290000,
CHINA MOBILE,2020,,2.75,,,109264.4922,454332,240000,33910000,,741.667,161000,,90666.7392,,,,,,,,,,,17800,63200,,,57700,,16500,,,38310000,
CHINA MOBILE,2021,,11.36,,,131497.7413,449934,240000,33580000,,3708.335,105000,,142933.4477,,,,,,,,,,,21000,76700,,,74300,,20000,,,43320000,
COMCAST CORP A (NEW),2016,,,,,80403,159000,"4,27,567",1266984,,,,,,,,,,,,,,,,,,,,,,,,,,
COMCAST CORP A (NEW),2017,,,,,85029,164000,"4,52,167",1339880,,,,,,,,,,,,,,,,,,,,,,,,,,
COMCAST CORP A (NEW),2018,,,,,94507,184000,"5,02,569",1489233,,,,,,,,,,,,,,,,,,,,,,,,,,
COMCAST CORP A (NEW),2019,,,,,108942,190000,676422,1863480,7129369,,,,,,,,,,,,,,,,,,,,,,,,,
COMCAST CORP A (NEW),2020,,,,,103564,168000,547084,1743564,6504762,,,817,500768,,,,,,,,,,,,,,,,,,,,,
COMCAST CORP A (NEW),2021,,,,,116385,189000,519288,1551747,6098203,,,,,,,,,,,,,,,,,,,,,,,,,
CVS HEALTH,2016,,,,,177546,248224,198047,1285716,2600000,,,,330600,,,,,,,,,429,,3436,,,2397,,,,,,5711000,
CVS HEALTH,2017,,,,,184786,243544,206086,1131013,2700000,,,,353800,,,,,,,,,1564,,4736,,,2513,,,,,,5554000,
CVS HEALTH,2018,,,,,194579,243000,177347,1096724,2850000,,,,411800,,,,,,,,,1515,,5060,,,2699,,,,,,5639000,
CVS HEALTH,2019,,,,,256776,288154,157114,1024682,2600000,,,,423400,,,,,,,,,1328,,4385,,,2473,,,,,,6081000,
CVS HEALTH,2020,,,,,268706,299980,165384,977380,3041400,,,,388600,,,,,,,,,1055.3388,159,4272,433.47,,3075.2,433.296612,,,,,5612000,
CVS HEALTH,2021,,,,,292111,321807,188257,881786,3014033.852,,,,423400,,,,,,,,,1504.25728,291,5640,365.44,,4210,0.18272,,,5728000,,5728000,
DAIMLER,2016,1243,33,,,169580.5879,282488,1056000,,10895000,,,,5105000,8526000,40.381,1229000,86000,,,,,,,,,,71000,1051000,,21000,,,15104000,
DAIMLER,2017,1185,57,,,185064.2213,289321,1192000,,11340000,,,726000,5167000,9038000,40.249,1269000,82000,,,,,,,,,,75000,1097000,,15000,,,14014000,
DAIMLER,2018,1050,61,,,197537.8878,298683,1247000,,11607000,,,834000,5316000,10041000,57,1328000,40000,,,,,,,,,,82000,1195000,,10000,,,14381000,
DAIMLER,2019,1568,60,,,193380.254,298655,1239000,,11287000,,,857000,5289000,9289000,37.631,1249000,28000,,,,,,,,,,79000,1133000,,10000,,,13486000,
DAIMLER,2020,1349,40,,,171043.8111,288481,1027000,,9711000,,,587000,4662000,8671000,21.327,1025000,13000,,,,,,,,,,65000,936000,,11000,,,11778000,
DAIMLER,2021,625,13,,,198712.0935,172425,681000,,6786000,,,370000,3101000,5015000,9,651000,7000,,,,,,,,,,51000,584000,,8000,,,7454000,
DEUTSCHE TELEKOM,2016,,,,,80883.8581,221000,290541,,8500000,,520609.5187,156728.4739,,,,,,,,,,,,6335,66960,,,,,,,,2751845,
DEUTSCHE TELEKOM,2017,,,,,84440.89195,216000,284510,,8900000,,504154.6133,151989.4969,,,,,,,,,,,,5777,58706,,,,,,,,2666455,
DEUTSCHE TELEKOM,2018,,,,,89348.94482,216000,276727,,9200000,,486395.6462,151114.082,,,,,,,,,,,,5710,60762,,,,,,,,2745254,
DEUTSCHE TELEKOM,2019,,,,,90148.73,213000,256476,,9300000,,456014.3145,153344.9236,,,,,,,,,,,,6911,69203,,,,,,,,2157504,
JOHNSON&JOHNSON,2021,37,53,,,93775,144315,367674,799629,3318611.377,,140834.46,,1244454.4,6920000,,194836,,,,,,7111,11804,52180,142656,,43263,123381,,,,810000,,10920000
JPMORGAN CHASE & CO,2016,,,,,95668,243355,79556,,2240399,,,,221823,,,,,,,,,,,,,,,,,,,,5127750,
JPMORGAN CHASE & CO,2017,,,,,100705,252539,78229,,2124700,,,,224119,,,,,,,,,,,,,,,,,,,,5611800,
JPMORGAN CHASE & CO,2018,,,,,109029,256105,83101,,2127810,,,,256623,,,,,,,,,,,,,,,,,,,,5731980,
JPMORGAN CHASE & CO,2019,,,,,115627,256981,81655,,2082280,,,,254794,,,,,,,,,,,,,,,,,,,,5091860,
JPMORGAN CHASE & CO,2020,,,,,119543,255351,69570,,1942728,,,,216862,,,,,,,,,,,,,,,,,,,,5035089,
JPMORGAN CHASE & CO,2021,,,,,121649,271025,84911,785272,2437515,,4074,,321322,,,,,,,,,,,,,,,,,,6700709,,,
LVMH MOET HENNE,2016,,,,,41603.7355,134476,62657,322972,1148570,,,,,,3354,80787,,,,,,,,3354,77433,,,66592.4,,,,,9599627,
LVMH MOET HENNE,2017,,,,,48067.04765,145247,87241.8,292070,1189280,,,,,,1660,78550,,,,,,,,3360,75190,,,68422.9,,,,,9534191,
LVMH MOET HENNE,2018,,,,,55268.87305,156088,96030.8,288092,1277080,,,,,,1170,99495,,,,,,,,6480,93015,,,84643.6,,,,,10655856,
LVMH MOET HENNE,2019,,,,,60081.14985,163309,69152.97,294810.03,1278600,,,,,,1030,95620,,,,,,,,5130,90490,,,82345.9,,,,,10945900,
LVMH MOET HENNE,2020,,,,,49493.40095,150479,63909.3,240421,1149660,,,,238160,,960,80690,,,,,,,,3983,76707,,,71337.5,,,,,10280200,
LVMH MOET HENNE,2021,,,,,75967.26269,175647,71390.6,304349.4,1367340,,,,267700,,,113580,,,,,,,,8022,105558,,,103357.8,,,,,8571513,
MICROSOFT CORP,2016,26,2,,,84695,114000,94651,,,,139631,37638,111283,4999896,,,,,,22378,,931,2243,,,5691,,,,,4999896,,,
MICROSOFT CORP,2017,223,13,,,96571,124000,107452,,6756779,,164324,46996,107687,3236000,,,,,,,,626,2044,2188,23870,5920,2122,15280,,,5148000,,1913000,
MICROSOFT CORP,2018,209,13,,,110360,131000,99008,,7781383,,152915,44604,110863,3393000,,,,,,,,316,1599,1405,17661,5883,1376,9864,,,6719000,,3326000,
MICROSOFT CORP,2019,215,12,,,125843,144000,117956,,9249361,,152034,43474,196644,3559000,,,,,,,,398,11713,14534,31644,8358,6184,11175,,,7505000,,3946000,
MICROSOFT CORP,2020,202,12,,,143015,163000,118100,,10757166,,147297,43000,218557,3651000,,,,,,,,562,10848,9469,31101,10104,7581,9588,,,7618000,,3967000,
MICROSOFT CORP,2021,284,18,,,168088,181000,123704,4609857,13481863,,,49359,249443,3179000,,,,,,,,275,6957,1750,20768,1776,1742,11760,,,7657000,,4478000,
MICROSOFT CORP,2022,,,,,198270,221000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NESTLE SA-REG,2016,,9900,,,90795.11775,328221,3600000,3000000,39472300,916667,,,11611100,80000000,,,106900,,,,,,,,,,,,107600,700,138000000,5100000,,
NESTLE SA-REG,2017,,9300,,,91186.91971,322887,3500000,3000000,37750000,833333,,,11583300,78000000,,,62500,,,,,,,,,,,,62900,400,132000000,6300000,,
NESTLE SA-REG,2018,,8300,,,93507.06462,308301,3300000,2500000,35472300,694444,,,11277800,75000000,,,34000,,,,,,,,,,,,34400,400,127000000,5900000,,
NESTLE SA-REG,2019,,7500,,,93161.26831,275628,3300000,2300000,35361100,611111,,,11500000,67000000,,,14000,,,,,,,,,,,,14300,300,121000000,4800000,,
NESTLE SA-REG,2020,,7100,,,87780.5006,268350,3300000,1900000,24166668.6,527778.2,,,11500009.2,59000000,,,5800,,,,,,,,,,,,5800,300,115000000,4400000,,
NESTLE SA-REG,2021,,,,,95288.32705,257031,3370000,2640193,22994300.73,,,,,,,1568228,,,,1174602.77,,,,12748,1555480,,,,,,97998375,,39027212,
Petrobras,2016,,,,,24815.01641,3714,,,249858000,,16020100,,152786000,281800000,,,,,,,,,,132000,210000,,,,,,,24800000,,191600000
Petrobras,2017,,,,,25541.77101,3240,163918,17629,743867,,625936,3534.84,3095.68,293200000,,,,,,,,,,113000,153000,,,,,,333700,3200,,177700000
Petrobras,2018,,,,,26349.9927,3134,164983,16847,749904,,645019,7454.11,7268.54,289100000,,,,,,,,,,120000,158000,,,,,,364900,1400,,182300000
Petrobras,2019,,,,,23579.0764,2274,160323,15635,758629,,632970,4140.69,1796.58,271600000,,,,,,,,,,118000,245000,,,,,,383200,1400,,156900000
Petrobras,2020,,,,,16585.8681,3370,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petrobras,2021,,,,,24157.38754,3380,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petrochina,2016,112700,123200,,,244953.4849,508800,,,650465900,96052000,,,162000129.6,,28400,,,,,,,,,,,,,,,,,,,
Petrochina,2017,102900,109100,,,292447.6822,494300,,,659258180,99389400,,,166000132.8,,28200,,,,,,,,,,,,,,,,,,791210000,
Petrochina,2018,96600,104000,,,345291.6543,476200,,,687100400,103133800,,,181000144.8,,25700,,,,,,,,,,,,,,,,,,800050000,
Petrochina,2019,89000,93800,,,360155.511,460700,132170000,41910000,708511230,103215200,,,185000148,,24400,,,,,,,,,,,,,,,,,,793830000,
Petrochina,2020,77600,88400,,,275104.6239,432003,127570000,39870000,720478500,104924600,,,187000149.6,,23500,,,,,,,,,,,,,,,,,,769950000,
Petrochina,2021,56400,11100,,,371913.3879,417200,121390000,38150000,51068497.08,108017800,,,175000140,,5300,,2603000,,,,,,,1396000,2603000,,,,,1396000,,,750040000,
TOTAL,2016,76000,52000,,,127925,102168,41000000,4000000,150000000,,,,,,,,,,,,,,100260,194000,363000,,108000,215000,,,120000000,,,
TOTAL,2017,69000,47000,,,149099,98277,38000000,4000000,142000000,,,,,,,,,,,,,,79820,187000,427000,,104000,259000,,,116000000,,,
TOTAL,2018,66000,48000,,,184106,104460,40000000,4000000,143000000,,,,,,,,,,,,,,103140,194000,379000,,110000,219000,,,116000000,,,
TOTAL,2019,72000,39000,,,176249,107776,41000000,4000000,160000000,,,,,,,,,,,,,,99450,288000,375000,,190000,240000,,,115000000,,,
TOTAL,2020,64000,34000,,,119704,105476,38000000,3000000,147000000,,,,,,,,,,,,,,60120,198000,303000,,107000,190000,,,105000000,,,
TOTAL,2021,59000,16000,,,184634,101309,34000000,2000000,148000000,,,,,,,,,,,,,,80000,165000,335000,,98000,206000,,,101000000,,,
TOYOTA MOTOR CORP,2016,,,,,261075.0984,348877,2490000,5080000,25750002.06,138889,,,4166670,,,,,,,,,56000,19000,,,,,,,,,,29300000,
TOYOTA MOTOR CORP,2017,,,,,246038.5242,364445,1750000,4190000,19194445.98,27777.8,,,4027781,35700000,,,,,,,,38000,16000,,,,,,,,44500000,2800000,44500000,
TOYOTA MOTOR CORP,2018,262,556,,,266062.8991,369124,1920000,4080000,19527779.34,27777.8,,,4277781.2,39000000,,,,,,,,40000,18000,,,,,,,,44400000,3100000,44400000,
TOYOTA MOTOR CORP,2019,252,511,,,277320.6232,370870,1900000,3780000,19444446,27777.8,,,4138892.2,38400000,,,,,,,,45000,23000,,,,,,,,44000000,3300000,44000000,
TOYOTA MOTOR CORP,2020,184,406,,,277084.7092,359542,1640000,3260000,17083334.7,0,,,3472225,31200000,,,,,,,,42000,17000,,,,,,,,36800000,1100000,,0
TOYOTA MOTOR CORP,2021,,,,,247989.4499,366283,1928167,4496359,,,,,,,,,,,,,,,,,,,,,,,,,,
TOYOTA MOTOR CORP,2022,,,,,252271.5458,372817,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNITEDHEALTH GRP,2016,,,,,184840,230000,15838,,372857,,,,,,,13487,,,,7514,,,,,,,,,,,,,850000,
UNITEDHEALTH GRP,2017,,,,,201159,260000,16570,,366475,,,,,,,15898,,,,8824,,,,,,,,,,,,,820000,
UNITEDHEALTH GRP,2018,,,,,226247,300000,13933,,365005,,,,,,,15521,,,,8475,,,,,,,,,,,,,740000,
UNITEDHEALTH GRP,2019,,,,,242155,325000,17709,,,,,,,,,7964,,,,7964,,,,,,,,,7398,,650000,,650000,
UNITEDHEALTH GRP,2020,,,,,257141,330000,24487,,381692,,1315.37,,48327.23,,,6709,,,,6709,,,,,,,,,7658,,,,560000,
UNITEDHEALTH GRP,2021,,,,,287597,350000,97537,,1151438,,,,,,,7099,,,,7099,,,,,,,,,10478,,,,860000,
VERIZON COMMUNICATIONS,2016,,,,,125980,160900,372496,5259727,,,,,,,,,,,,33886.3145,,,,,,,,,,,,,,
VERIZON COMMUNICATIONS,2017,,,,,126034,155400,376735,4522261,,,,,,,,,,,,38450,,,,,,,,,,,,,,
VERIZON COMMUNICATIONS,2018,,,,,130863,144953,385241,4033579,11836047.06,,,,,,,,,,,,,,,,,,,,,,8706447.094,,,
VERIZON COMMUNICATIONS,2019,,,,,131868,135670,358753,4006874,11791884.55,,,,,,,,,,,,,,,,,,,,,,8895717.683,,8895717.683,
VERIZON COMMUNICATIONS,2020,,,,,128292,132200,336831,3753660,11427436.75,,,,,,,,,,,,,,,,,,,,,,7760094.149,,7760094.149,
VERIZON COMMUNICATIONS,2021,,,,,133613,118400,380419,4492040,,,,,,,,,,,,,,,,,,,,,,,,,,
VOLKSWAGEN VORZUG,2016,5127,,,,228903.8205,626715,4230000,5280000,23500000,,,,,32170000,,3112108,55376,,,2942654,,,,264316,2847792,,150238,2792416,169454,114078,,,,52250000
VOLKSWAGEN VORZUG,2017,5120,,,,274970,642292,4040000,4910000,24200000,,,,,32850000,,3220574,88168,,,3034924,,,,267053,2953521,,169571,2865353,185650,97482,,,,53770000
VOLKSWAGEN VORZUG,2018,,,,,269762,655722,3910000,4290000,24120000,,,,,30650000,,3302955,65588,,,3153424,,,,254445,3048510,,170502,2982922,149531,83943,,,,55680000
VOLKSWAGEN VORZUG,2019,4209,,,,307025.2,671205,4400000,3800000,23420000,,,,,29930000,3906,3135573,48683,,,3016156,,,,241897,2893676,,171163,2844993,119417,70734,,,,46920000
VOLKSWAGEN VORZUG,2020,4135,691,,,247055.7698,662575,4340000,2800000,21590000,,,,,25790000,3374,2489035,36204,,,2389446,,,,213535,2275500,,150150,2239296,99589,63385,,,,41750000
VOLKSWAGEN VORZUG,2021,,,,,295990.1756,672789,4740000,2420000,21980000,,,,,,,,28961,,,,,,,,,,,,,54369,,,,39690000
WALMART,2016,,,,,482130,2300000,14080000,6650000,,,,,,,,,,,,,,,,,,,,,,,,,,
WALMART,2017,,,,,485873,2300000,6523390,6520000,44291504,,6293368,,6751235,,,,,,,,,,,,,,,,,,,,,
WALMART,2018,,,,,500343,2300000,6101641,6100000,43150528,,5375905,,7813754,,,,,,,,,,,,,,,,,,,,,
WALMART,2019,,,,,514405,2200000,6484616,12160000,42589868,,5199636,,7881289,,,,,,,,,,,,,,,,,,,,,
WALMART,2020,,,,,523964,2200000,7236499,12020000,41676262,,6596320,,7552021,,,,,,,,,,,,,,,,,,,,,
WALMART,2021,,,,,559151,2300000,7370161,9618958,38333336.4,,,,,,,,,,,,,,,,,,,,,,,,,
WALMART,2022,,,,,572754,2300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBVIE INC,2016,,,,,25638,28939,305000,305000,2085000,,,,,3440000,,35700,,,,28470.83,,,,13600,22100,,12063.2,16407.63,14700,,34900000,,4700000,4700000
ABBVIE INC,2017,,,,,28216,29777,299000,284000,2051000,,,,,3250000,,32800,,,,27799.79,,,,14500,18300,,12861.5,14938.29,11300,,34100000,,4360000,4360000
ABBVIE INC,2018,,,,,32753,30612,315000,271000,2146000,,,,,3260000,,32000,,,,27224.52,,,,15600,16400,,13837.2,13387.32,9800,,35100000,,4400000,4400000
ABBVIE INC,2019,,,,,33266,30776,315000,250000,2112000,,,,,3130000,,33400,,,,28515.81,,,,17700,15700,,15699.9,12815.91,9800,,31700000,,4330000,4300000
ABBVIE INC,2020,,,,,45804,47000,265000,,1978000,,,,,3060000,,30600,,,,,,,,15800,14800,,14500,7100,8700,,34700000,,4060000,4060000
ABBVIE INC,2021,,,,,56197,50000,367954,,2654868,,354507,,1000684,,,36900,,,,15498,,,,,,,,,,,,,5220000,
ALIBABA GRP-ADR,2016,,,,,15222.11415,36446,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALIBABA GRP-ADR,2017,,,,,22775.4847,50097,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALIBABA GRP-ADR,2018,,,,,36386.17374,66421,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALIBABA GRP-ADR,2019,,,,,53926.3764,101958,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALIBABA GRP-ADR,2020,,,,,72510.72632,117600,510026,3709747,,,,,,,,,,,,,,,,,,,,,,,,,,
ALIBABA GRP-ADR,2021,,,,,102040.4629,251462,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALIBABA GRP-ADR,2022,,,,,121355.3273,254941,926779,4445238,8786584,,1574186.398,3274.06,124121.008,,,,,,,,,,,,,,,,,,,,,
ALLIANZ,2016,,,,,135455.5075,140253,55991,,776146.7288,,,,,,,,,,,,,9282.65,3408.64,,21438,,,8618.076,,,,,1887526,
ALLIANZ,2017,,,,,142557.4527,140553,51838,,773105.0618,,,,,,,,,,,,,8482.23,4165.96,,21474,,,8739.918,,,,,1940030,
ALLIANZ,2018,,,,,126889,142460,46734,,732332.8364,,,,,,,,,,,,,7888.72,3875.85,,19575,,,7810.425,,,,,1830782,
ALLIANZ,2019,,,,,130381.8044,147268,42011,,704531.723,,,,,,,,,,,,,7719.61,3801.612,,19396,,,7855.38,,,,,1883352,
