,General info,,,,,,,Headcount data,Scopes,,,,,,,,,,,,,Water,,,
,COMPANY_NAME,HQ_country,ISO_CODE,REPORTING_YEAR,ANNUAL_REVENUE,TOTAL_ASSETS_VALUE,SECTOR,NUMBER_OF_EMPLOYEES,SCOPE_1_EMISSIONS_TOTAL,SCOPE_2,SCOPE 1+2,GHG_INTENSITY,CONSUMPTION_TOTAL_ENERGY,TOTAL_WATER_DISCHARGE_OR_WASTEWATER_GENERATION,COD_OR_CHEMICAL_OXYGEN_DEMAND,TOTAL_WASTE_GENERATED,RECOVERED_OR_RECYCLED_TOTAL_WASTE,TOTAL_HAZARDOUS_WASTE_GENERATED,TOTAL_NON_HAZARDOUS_WASTE_GENERATED,RECOVERED_HAZARDOUS_WASTE,RECOVERED_NON_HAZARDOUS_WASTE,WITHDRAWAL_TOTAL_WATER,RECYCLED_WATER_OR_REUSE_WATER_OR_TREATED_WATER,CONSUMPTION_TOTAL_WATER,WITHDRAWAL_TOTAL_FRESHWATER
27,TAIWAN SEMICONDUCTOR,Taiwan,TWN,2017,29074.08327,1,Information Technology,48602,2075928,6080212,8156140,,12016000,32260000,,369745,351257.75,168631,201114,,,,,48900000,
28,TAIWAN SEMICONDUCTOR,Taiwan,TWN,2018,30717.77139,1,Information Technology,48752,2125725,6349642,8475367,,13167000,37830000,2988,393784,374094.8,179944,213840,,,,,56800000,
29,TAIWAN SEMICONDUCTOR,Taiwan,TWN,2019,31789.40379,1,Information Technology,51297,2071743,6697872,8769614,,14323000,43110000,,416715,400046.4,197131,219584,,,,,64300000,
30,TAIWAN SEMICONDUCTOR,Taiwan,TWN,2020,44776,1,Information Technology,56831,2450350,7459856,9910210,,16919000,51810000,,575740,546953,298400,277340,,,,,77300000,
31,TAIWAN SEMICONDUCTOR,Taiwan,TWN,2021,56809.70377,1,Information Technology,65152,2151937,8152497,10304434,,19192000,55050000,,674703,640967.85,339623,335080,,,,,82800000,
32,TENCENT,China,CHN,2016,22879.88761,1,Information Technology,38775,1530,344650,346180,,,,,,,,,,,,,,
33,TENCENT,China,CHN,2017,35192.99744,1,Information Technology,44796,2783.79,573876,576659.79,,866714,,,,,2.21,3954.46,,,,5261,1532710,
34,TENCENT,China,CHN,2018,47328.73845,1,Information Technology,54309,2590.31,712762,715352.31,,1106477.18,,,,,2.51,5917.28,,,,5461,1907226.06,
35,TENCENT,China,CHN,2019,54637.10654,1,Information Technology,62885,4101.08,852686,856787.08,,1506253.9,,,,,10.4,7038.38,,,,4076,2750510.36,
36,TENCENT,China,CHN,2020,68577.70535,1,Information Technology,51350,4089.79,926675.8,930765.59,,1723567.94,,,,,73.23,9077.63,,,,10985,3509332.1,
37,TENCENT,China,CHN,2021,79681.55093,1,Information Technology,68226,19000,2349000,2368000,,4375253,,,,,324,29850,,,,,6201652,
38,CHEVRON CORP,USA,USA,2018,158902,1,Oil & Gas,48638,68000000,2000000,70000000,,275555577.6,,,,,400000,,200000,,,,70000000,71000000
39,CHEVRON CORP,USA,USA,2019,139865,1,Oil & Gas,48155,63000000,1000000,64000000,,268611132.6,,,,,400000,,200000,,,,69000000,70000000
40,CHEVRON CORP,USA,USA,2020,94471,1,Oil & Gas,47736,56000000,1000000,57000000,,249444464.4,,,,,200000,,100000,,,,62000000,63000000
41,CHEVRON CORP,USA,USA,2021,155606,1,Oil & Gas,42595,57000000,2000000,59000000,"8,2",252500020.2,,,,,300000,,100000,,,,66000000,67000000
42,China Construction Bank,China,CHN,2016,81359.59612,1,Financial services,362482,4100.19,105820.03,109920.22,,,,,409.1,,,,,,,,246859,
43,China Construction Bank,China,CHN,2017,85127.50313,1,Financial services,352621,18576.91,258872.22,277449.13,,483337.67,,,,,40.29,391.5,,,,,2049524.54,
44,China Construction Bank,China,CHN,2018,94133.62687,1,Financial services,345971,17518.07,244028.93,261547,,446323.04,,,,,20.58,371.47,,,,,2280545.68,
45,China Construction Bank,China,CHN,2019,95155.61946,1,Financial services,347156,115242.34,1459672.38,1574914.66,,2645169.57,,,,,19.46,409.31,,,,,23790030.7,
46,China Construction Bank,China,CHN,2020,98841.78032,1,Financial services,349671,88906.1,1392317.22,1481223.32,,2436176.42,,,,,36.06,689.65,,,,,23171202.67,
47,China Construction Bank,China,CHN,2021,113898.2154,1,Financial services,351252,127378.31,1516076.17,1643454.48,"8,2",2734978.95,,,,,37.46,272.17,,,,,20600497.71,
48,CHINA MOBILE,China,HKG,2016,106678.9931,1,Telecommunications,460647,350000,14030000,14380000,,,,,,,22742,,22742,,,,41250000,
49,CHINA MOBILE,China,HKG,2017,109610.1418,1,Telecommunications,464656,330000,15650000,15980000,,,,,,,35035,,35035,,,,42240000,
50,CHINA MOBILE,China,HKG,2018,111523.4502,1,Telecommunications,459152,310000,15860000,16170000,,,,,,39759,10165,29594,,,,,35120000,
51,CHINA MOBILE,China,HKG,2019,108019.9704,1,Telecommunications,456239,280000,17040000,17320000,,,,,,,18900,71400,,67000,,,36290000,
52,CHINA MOBILE,China,HKG,2020,109264.4922,1,Telecommunications,454332,240000,33910000,34150000,,,,,,,17800,63200,,57700,,,38310000,
53,CHINA MOBILE,China,HKG,2021,131497.7413,1,Telecommunications,449934,240000,33580000,33820000,"17,8",,,,,,21000,76700,,74300,,,43320000,
54,COMCAST CORP A (NEW),USA,USA,2016,80403,1,Telecommunications,159000,427567,1266984,1694551,,,,,,,,,,,,,,
55,COMCAST CORP A (NEW),USA,USA,2017,85029,1,Telecommunications,164000,452167,1339880,1792047,,,,,,,,,,,,,,
56,COMCAST CORP A (NEW),USA,USA,2018,94507,1,Telecommunications,184000,502569,1489233,1991802,,,,,,,,,,,,,,
57,COMCAST CORP A (NEW),USA,USA,2019,108942,1,Telecommunications,190000,676422,1863480,2539902,,7129369,,,,,,,,,,,,
58,COMCAST CORP A (NEW),USA,USA,2020,103564,1,Telecommunications,168000,547084,1743564,2290648,,6504762,,,,,,,,,,,,
59,COMCAST CORP A (NEW),USA,USA,2021,116385,1,Telecommunications,189000,519288,1551747,2071035,"17,8",6098203,,,,,,,,,,,,
60,CVS HEALTH,USA,USA,2016,177546,1,Health,248224,198047,1285716,1483763,,2600000,,,,,3436,,2397,,,,5711000,
61,CVS HEALTH,USA,USA,2017,184786,1,Health,243544,206086,1131013,1337099,,2700000,,,,,4736,,2513,,,,5554000,
62,CVS HEALTH,USA,USA,2018,194579,1,Health,243000,177347,1096724,1274071,,2850000,,,,,5060,,2699,,,,5639000,
63,CVS HEALTH,USA,USA,2019,256776,1,Health,288154,157114,1024682,1181796,,2600000,,,,,4385,,2473,,,,6081000,
64,CVS HEALTH,USA,USA,2020,268706,1,Health,299980,165384,977380,1142764,,3041400,,,,,4272,433.47,3075.2,433.296612,,,5612000,
65,CVS HEALTH,USA,USA,2021,292111,1,Autos,321807,188257,881786,1070043,"6,6",3014033.852,,,,,5640,365.44,4210,0.18272,5728000,,5728000,
66,DAIMLER,Germany,DEU,2016,169580.5879,1,Autos,282488,1056000,1882000,2938000,,10895000,8526000,40.381,1229000,,,,71000,1051000,,,15104000,
67,DAIMLER,Germany,DEU,2017,185064.2213,1,Autos,289321,1192000,1763000,2955000,,11340000,9038000,40.249,1269000,,,,75000,1097000,,,14014000,
68,DAIMLER,Germany,DEU,2018,197537.8878,1,Autos,298683,1247000,1687000,2934000,,11607000,10041000,57,1328000,,,,82000,1195000,,,14381000,
69,DAIMLER,Germany,DEU,2019,193380.254,1,Autos,298655,1239000,1276000,2515000,,11287000,9289000,37.631,1249000,,,,79000,1133000,,,13486000,
70,DAIMLER,Germany,DEU,2020,171043.8111,1,Autos,288481,1027000,1035000,2062000,,9711000,8671000,21.327,1025000,,,,65000,936000,,,11778000,
71,DAIMLER,Germany,DEU,2021,198712.0935,1,Autos,172425,681000,466000,1147000,"21,8",6786000,5015000,9,651000,,,,51000,584000,,,7454000,
72,DEUTSCHE TELEKOM,Germany,DEU,2016,80883.8581,1,Telecommunications,221000,290541,3878321,4168862,,8500000,,,,,6335,66960,,,,,2751845,
73,DEUTSCHE TELEKOM,Germany,DEU,2017,84440.89195,1,Telecommunications,216000,284510,2611055,2895565,,8900000,,,,,5777,58706,,,,,2666455,
74,DEUTSCHE TELEKOM,Germany,DEU,2018,89348.94482,1,Telecommunications,216000,276727,2077415,2354142,,9200000,,,,,5710,60762,,,,,2745254,
75,DEUTSCHE TELEKOM,Germany,DEU,2019,90148.73,1,Telecommunications,213000,256476,1545541,1802017,,9300000,,,,,6911,69203,,,,,2157504,
77,JPMORGAN CHASE & CO,USA,USA,2016,95668,1,Financial services,243355,79556,780710,860266,,2240399,,,,,,,,,,,5127750,
78,JPMORGAN CHASE & CO,USA,USA,2017,100705,1,Financial services,252539,78229,596843,675072,,2124700,,,,,,,,,,,5611800,
79,JPMORGAN CHASE & CO,USA,USA,2018,109029,1,Financial services,256105,83101,572067,655168,,2127810,,,,,,,,,,,5731980,
80,JPMORGAN CHASE & CO,USA,USA,2019,115627,1,Financial services,256981,81655,556142,637797,,2082280,,,,,,,,,,,5091860,
81,JPMORGAN CHASE & CO,USA,USA,2020,119543,1,Financial services,255351,69570,4187,73757,,1942728,,,,,,,,,,,5035089,
82,JPMORGAN CHASE & CO,USA,USA,2021,121649,1,Financial services,271025,84911,785272,870183,4,2437515,,,,,,,,,6700709,,,
83,LVMH MOET HENNE,France,FRA,2016,41603.7355,1,Consumer Goods,134476,62657,322972,385629,,1148570,,3354,80787,,3354,77433,,66592.4,,,9599627,
84,LVMH MOET HENNE,France,FRA,2017,48067.04765,1,Consumer Goods,145247,87241.8,292070,379312,,1189280,,1660,78550,,3360,75190,,68422.9,,,9534191,
85,LVMH MOET HENNE,France,FRA,2018,55268.87305,1,Consumer Goods,156088,96030.8,288092,384123,,1277080,,1170,99495,,6480,93015,,84643.6,,,10655856,
86,LVMH MOET HENNE,France,FRA,2019,60081.14985,1,Consumer Goods,163309,69152.97,294810.03,363963,,1278600,,1030,95620,,5130,90490,,82345.9,,,10945900,
87,LVMH MOET HENNE,France,FRA,2020,49493.40095,1,Consumer Goods,150479,63909.3,240421,304330,,1149660,,960,80690,,3983,76707,,71337.5,,,10280200,
88,LVMH MOET HENNE,France,FRA,2021,75967.26269,1,Consumer Goods,175647,71390.6,304349.4,375740,4,1367340,,,113580,,8022,105558,,103357.8,,,8571513,
89,MICROSOFT CORP,USA,USA,2016,84695,1,Information Technology,114000,94651,2139402,2234053,,,4999896,,,22378,,,,,4999896,,,
90,MICROSOFT CORP,USA,USA,2017,96571,1,Information Technology,124000,107452,2697554,2805006,,6756779,3236000,,,,2188,23870,2122,15280,5148000,,1913000,
91,MICROSOFT CORP,USA,USA,2018,110360,1,Information Technology,131000,99008,2946043,3045051,,7781383,3393000,,,,1405,17661,1376,9864,6719000,,3326000,
92,MICROSOFT CORP,USA,USA,2019,125843,1,Information Technology,144000,117956,3557518,3675474,,9249361,3559000,,,,14534,31644,6184,11175,7505000,,3946000,
93,MICROSOFT CORP,USA,USA,2020,143015,1,Information Technology,163000,118100,4102445,4220545,,10757166,3651000,,,,9469,31101,7581,9588,7618000,,3967000,
94,MICROSOFT CORP,USA,USA,2021,168088,1,Information Technology,181000,123704,4745197,4868901,29,13481863,3179000,,,,1750,20768,1742,11760,7657000,,4478000,
95,MICROSOFT CORP,USA,USA,2022,198270,1,Information Technology,221000,,,0,,,,,,,,,,,,,,
96,NESTLE SA-REG,Switzerland,CHE,2016,90795.11775,1,Food,328221,3600000,3000000,6600000,,39472300,80000000,,,,,,,,138000000,5100000,,
97,NESTLE SA-REG,Switzerland,CHE,2017,91186.91971,1,Food,322887,3500000,3000000,6500000,,37750000,78000000,,,,,,,,132000000,6300000,,
98,NESTLE SA-REG,Switzerland,CHE,2018,93507.06462,1,Food,308301,3300000,2500000,5800000,,35472300,75000000,,,,,,,,127000000,5900000,,
99,NESTLE SA-REG,Switzerland,CHE,2019,93161.26831,1,Food,275628,3300000,2300000,5600000,,35361100,67000000,,,,,,,,121000000,4800000,,
100,NESTLE SA-REG,Switzerland,CHE,2020,87780.5006,1,Food,268350,3300000,1900000,5200000,,24166668.6,59000000,,,,,,,,115000000,4400000,,
101,NESTLE SA-REG,Switzerland,CHE,2021,95288.32705,1,Food,257031,3370000,2640193,6010193,"393,2",22994300.73,,,1568228,1174602.77,12748,1555480,,,97998375,,39027212,
102,Petrobras,Brazil,BRA,2016,24815.01641,1,Oil & Gas,3714,,,0,,249858000,281800000,,,,132000,210000,,,,24800000,,191600000
103,Petrobras,Brazil,BRA,2017,25541.77101,1,Oil & Gas,3240,163918,17629,181547,,743867,293200000,,,,113000,153000,,,333700,3200,,177700000
104,Petrobras,Brazil,BRA,2018,26349.9927,1,Oil & Gas,3134,164983,16847,181830,,749904,289100000,,,,120000,158000,,,364900,1400,,182300000
105,Petrobras,Brazil,BRA,2019,23579.0764,1,Oil & Gas,2274,160323,15635,175958,,758629,271600000,,,,118000,245000,,,383200,1400,,156900000
106,Petrobras,Brazil,BRA,2020,16585.8681,1,Oil & Gas,3370,,,0,,,,,,,,,,,,,,
107,Petrobras,Brazil,BRA,2021,24157.38754,1,Oil & Gas,3380,61400000,400000,61800000,"393,2",,,,,,,,,,,,,
108,Petrochina,China,CHN,2016,244953.4849,1,Oil & Gas,508800,,,0,,650465900,,28400,,,,,,,,,,
109,Petrochina,China,CHN,2017,292447.6822,1,Oil & Gas,494300,,,0,,659258180,,28200,,,,,,,,,791210000,
110,Petrochina,China,CHN,2018,345291.6543,1,Oil & Gas,476200,,,0,,687100400,,25700,,,,,,,,,800050000,
111,Petrochina,China,CHN,2019,360155.511,1,Oil & Gas,460700,132170000,41910000,174080000,,708511230,,24400,,,,,,,,,793830000,
112,Petrochina,China,CHN,2020,275104.6239,1,Oil & Gas,432003,127570000,39870000,167440000,,720478500,,23500,,,,,,,,,769950000,
113,Petrochina,China,CHN,2021,371913.3879,1,Oil & Gas,417200,121390000,38150000,159540000,"393,2",51068497.08,,5300,,,1396000,2603000,,,,,750040000,
114,TOTAL,France,FRA,2016,127925,1,Oil & Gas,102168,41000000,4000000,45000000,,150000000,,,,,194000,363000,108000,215000,120000000,,,
115,TOTAL,France,FRA,2017,149099,1,Oil & Gas,98277,38000000,4000000,42000000,,142000000,,,,,187000,427000,104000,259000,116000000,,,
116,TOTAL,France,FRA,2018,184106,1,Oil & Gas,104460,40000000,4000000,44000000,,143000000,,,,,194000,379000,110000,219000,116000000,,,
117,TOTAL,France,FRA,2019,176249,1,Oil & Gas,107776,41000000,4000000,45000000,,160000000,,,,,288000,375000,190000,240000,115000000,,,
118,TOTAL,France,FRA,2020,119704,1,Oil & Gas,105476,38000000,3000000,41000000,,147000000,,,,,198000,303000,107000,190000,105000000,,,
119,TOTAL,France,FRA,2021,184634,1,Oil & Gas,101309,34000000,2000000,36000000,,148000000,,,,,165000,335000,98000,206000,101000000,,,
120,TOYOTA MOTOR CORP,Japan,JPN,2016,261075.0984,1,Autos,348877,2490000,5080000,7570000,,25750002.06,,,,,,,,,,,29300000,
121,TOYOTA MOTOR CORP,Japan,JPN,2017,246038.5242,1,Autos,364445,1750000,4190000,7810000,,19194445.98,35700000,,,,,,,,44500000,2800000,44500000,
122,TOYOTA MOTOR CORP,Japan,JPN,2018,266062.8991,1,Autos,369124,1920000,4080000,7790000,,19527779.34,39000000,,,,,,,,44400000,3100000,44400000,
123,TOYOTA MOTOR CORP,Japan,JPN,2019,277320.6232,1,Autos,370870,1900000,3780000,7650000,,19444446,38400000,,,,,,,,44000000,3300000,44000000,
124,TOYOTA MOTOR CORP,Japan,JPN,2020,277084.7092,1,Autos,359542,1640000,3260000,5680000,,17083334.7,31200000,,,,,,,,36800000,1100000,,0
125,TOYOTA MOTOR CORP,Japan,JPN,2021,247989.4499,1,Autos,366283,1928167,4496359,6424526,,,,,,,,,,,,,,
126,TOYOTA MOTOR CORP,Japan,JPN,2022,252271.5458,1,Autos,372817,,,0,,,,,,,,,,,,,,
127,UNITEDHEALTH GRP,USA,TYN,2016,184840,1,Health,230000,15838,,0,,372857,,,13487,7514,,,,,,,850000,
128,UNITEDHEALTH GRP,USA,TYN,2017,201159,1,Health,260000,16570,,0,,366475,,,15898,8824,,,,,,,820000,
129,UNITEDHEALTH GRP,USA,TYN,2018,226247,1,Health,300000,13933,155700,0,,365005,,,15521,8475,,,,,,,740000,
130,UNITEDHEALTH GRP,USA,TYN,2019,242155,1,Health,325000,17709,149418,167127,,,,,7964,7964,,,,,650000,,650000,
131,UNITEDHEALTH GRP,USA,TYN,2020,257141,1,Health,330000,24487,148741,173228,,381692,,,6709,6709,,,,,,,560000,
132,UNITEDHEALTH GRP,USA,TYN,2021,287597,1,Health,350000,97537,290463,388000,,1151438,,,7099,7099,,,,,,,860000,
133,VERIZON COMMUNICATIONS,USA,USA,2016,125980,1,Telecommunications,160900,372496,5259727,5632223,,,,,,33886.3145,,,,,,,,
134,VERIZON COMMUNICATIONS,USA,USA,2017,126034,1,Telecommunications,155400,376735,4522261,4898996,,,,,,38450,,,,,,,,
135,VERIZON COMMUNICATIONS,USA,USA,2018,130863,1,Telecommunications,144953,385241,4033579,4418820,,11836047.06,,,,,,,,,8706447.094,,,
136,VERIZON COMMUNICATIONS,USA,USA,2019,131868,1,Telecommunications,135670,358753,4006874,4365627,,11791884.55,,,,,,,,,8895717.683,,8895717.683,
137,VERIZON COMMUNICATIONS,USA,USA,2020,128292,1,Telecommunications,132200,336831,3753660,4090491,,11427436.75,,,,,,,,,7760094.149,,7760094.149,
138,VERIZON COMMUNICATIONS,USA,USA,2021,133613,1,Telecommunications,118400,380419,4492040,4872459,,,,,,,,,,,,,,
139,VOLKSWAGEN VORZUG,Germany,,2016,228903.8205,1,Autos,626715,4230000,5280000,9510000,,23500000,32170000,,3112108,2942654,264316,2847792,150238,2792416,,,,52250000
140,VOLKSWAGEN VORZUG,Germany,,2017,274970,1,Autos,642292,4040000,4910000,9090000,,24200000,32850000,,3220574,3034924,267053,2953521,169571,2865353,,,,53770000
141,VOLKSWAGEN VORZUG,Germany,,2018,269762,1,Autos,655722,3910000,4290000,8210000,,24120000,30650000,,3302955,3153424,254445,3048510,170502,2982922,,,,55680000
142,VOLKSWAGEN VORZUG,Germany,DEU,2019,307025.2,1,Autos,671205,4400000,3800000,7570000,,23420000,29930000,3906,3135573,3016156,241897,2893676,171163,2844993,,,,46920000
143,VOLKSWAGEN VORZUG,Germany,DEU,2020,247055.7698,1,Autos,662575,4340000,2800000,7140000,,21590000,25790000,3374,2489035,2389446,213535,2275500,150150,2239296,,,,41750000
144,VOLKSWAGEN VORZUG,Germany,DEU,2021,295990.1756,1,Autos,672789,4740000,2420000,7160000,,21980000,,,,,,,,,,,,39690000
145,WALMART,USA,USA,2016,482130,1,Retail,2300000,14080000,6650000,20730000,,,,,,,,,,,,,,
146,WALMART,USA,USA,2017,485873,1,Retail,2300000,6523390,6520000,13043390,,44291504,,,,,,,,,,,,
147,WALMART,USA,USA,2018,500343,1,Retail,2300000,6101641,6100000,12201641,,43150528,,,,,,,,,,,,
148,WALMART,USA,USA,2019,514405,1,Retail,2200000,6484616,12160000,18644616,,42589868,,,,,,,,,,,,
149,WALMART,USA,USA,2020,523964,1,Retail,2200000,7236499,12020000,19256499,,41676262,,,,,,,,,,,,
150,WALMART,USA,USA,2021,559151,1,Retail,2300000,7370161,9618958,16989119,,38333336.4,,,,,,,,,,,,
151,WALMART,USA,USA,2022,572754,1,Retail,2300000,,,,,,,,,,,,,,,,,
152,ABBVIE INC,USA,USA,2016,25638,1,Pharmaceutical,28939,305000,305000,610000,,2085000,3440000,,35700,28470.83,13600,22100,12063.2,16407.63,34900000,,4700000,4700000
153,ABBVIE INC,USA,USA,2017,28216,1,Pharmaceutical,29777,299000,284000,584000,,2051000,3250000,,32800,27799.79,14500,18300,12861.5,14938.29,34100000,,4360000,4360000
154,ABBVIE INC,USA,USA,2018,32753,1,Pharmaceutical,30612,315000,271000,585000,,2146000,3260000,,32000,27224.52,15600,16400,13837.2,13387.32,35100000,,4400000,4400000
155,ABBVIE INC,USA,USA,2019,33266,1,Pharmaceutical,30776,315000,250000,564000,,2112000,3130000,,33400,28515.81,17700,15700,15699.9,12815.91,31700000,,4330000,4300000
156,ABBVIE INC,USA,USA,2020,45804,1,Pharmaceutical,47000,265000,243000,508000,,1978000,3060000,,30600,,15800,14800,14500,7100,34700000,,4060000,4060000
157,ABBVIE INC,USA,USA,2021,56197,1,Pharmaceutical,50000,367954,256708,624662,"12,4",2654868,,,36900,15498,,,,,,,5220000,
158,ALIBABA GRP-ADR,China,CHN,2016,15222.11415,1,Retail,36446,,,,,,,,,,,,,,,,,
159,ALIBABA GRP-ADR,China,CHN,2017,22775.4847,1,Retail,50097,,,,,,,,,,,,,,,,,
160,ALIBABA GRP-ADR,China,CHN,2018,36386.17374,1,Retail,66421,,,,,,,,,,,,,,,,,
161,ALIBABA GRP-ADR,China,CHN,2019,53926.3764,1,Retail,101958,,,,,,,,,,,,,,,,,
162,ALIBABA GRP-ADR,China,CHN,2020,72510.72632,1,Retail,117600,510026,3709747,4219773,,,,,,,,,,,,,,
163,ALIBABA GRP-ADR,China,CHN,2021,102040.4629,1,Retail,251462,926779,4445238,5372017,"39,9",,,,,,,,,,,,,
164,ALIBABA GRP-ADR,China,CHN,2022,121355.3273,1,Retail,254941,926779,4445238,5372017,"39,9",8786584,,,,,,,,,,,,
165,ALLIANZ,Germany,DEU,2016,135455.5075,1,Financial services,140253,55991,,,,776146.7288,,,,,,21438,,8618.076,,,1887526,
166,ALLIANZ,Germany,DEU,2017,142557.4527,1,Financial services,140553,51838,,,,773105.0618,,,,,,21474,,8739.918,,,1940030,
167,ALLIANZ,Germany,DEU,2018,126889,1,Financial services,142460,46734,,,,732332.8364,,,,,,19575,,7810.425,,,1830782,
168,ALLIANZ,Germany,DEU,2019,130381.8044,1,Financial services,147268,42011,,,,704531.723,,,,,,19396,,7855.38,,,1883352,
169,ALLIANZ,Germany,DEU,2020,155687.3448,1,Financial services,150269,28714,,,,588968.936,,,,,,14395,,6564.12,,,1592564,
170,ALLIANZ,Germany,DEU,2021,175690.6354,1,Financial services,155411,28699,138746,167445,"39,9",539791.1543,,,,,,12064,,5621.82,,,1237598,
